27/12/2018 0707:1212:5858:	testing
27/12/2018 0707:1212:1010:	testing
27/12/2018 0707:1212:1010:	testing
27/12/2018 0707:1212:1010:	testing
27/12/2018 0707:1212:1010:	testing
27/12/2018 0707:1212:4040:	testing
27/12/2018 0707:1212:4040:	testing
27/12/2018 0707:1212:4040:	testing
27/12/2018 0707:1212:4040:	testing
27/12/2018 19:45:10:	testing
27/12/2018 19:45:10:	testing
27/12/2018 19:45:10:	testing
27/12/2018 19:45:10:	testing
27/12/2018 19:45:40:	testing
27/12/2018 19:45:40:	testing
27/12/2018 19:45:40:	testing
27/12/2018 19:45:40:	testing
27/12/2018 19:46:10:	testing
27/12/2018 19:46:10:	testing
27/12/2018 19:46:10:	testing
27/12/2018 19:46:10:	testing
getConn	27/12/2018 19:46:40:	testing
getConn	27/12/2018 19:46:40:	testing
getConn	27/12/2018 19:46:40:	testing
getConn	27/12/2018 19:46:40:	testing
getConn	27/12/2018 19:47:10:	testing
getConn	27/12/2018 19:47:10:	testing
getConn	27/12/2018 19:47:10:	testing
getConn	27/12/2018 19:47:10:	testing
27/12/2018 20:02:40	->getReceivedByAccount	:	
27/12/2018 20:02:40	getCurrency->getConn	:	testing
27/12/2018 20:02:40	getCurrency->getConn	:	testing
27/12/2018 20:03:10	getTransactionByAddress->getConn	:	testing
27/12/2018 20:03:10	->getReceivedByAccount	:	
27/12/2018 20:03:10	getCurrency->getConn	:	testing
27/12/2018 20:03:10	->getReceivedByAccount	:	
27/12/2018 20:03:10	getCurrency->getConn	:	testing
27/12/2018 20:03:10	getCurrency->getConn	:	testing
27/12/2018 20:03:40	getTransactionByAddress->getConn	:	testing
27/12/2018 20:03:40	->getReceivedByAccount	:	
27/12/2018 20:03:40	getCurrency->getConn	:	testing
27/12/2018 20:03:40	->getReceivedByAccount	:	
27/12/2018 20:03:40	getCurrency->getConn	:	testing
27/12/2018 20:03:40	getCurrency->getConn	:	testing
27/12/2018 20:04:10	getTransactionByAddress->getConn	:	testing
27/12/2018 20:04:10	->getReceivedByAccount	:	
27/12/2018 20:04:10	getCurrency->getConn	:	testing
27/12/2018 20:04:10	->getReceivedByAccount	:	
27/12/2018 20:04:10	getCurrency->getConn	:	testing
27/12/2018 20:04:10	getCurrency->getConn	:	testing
27/12/2018 20:04:40	getTransactionByAddress->getConn	:	testing
27/12/2018 20:04:40	->getReceivedByAccount	:	
27/12/2018 20:04:40	getCurrency->getConn	:	testing
27/12/2018 20:04:40	->getReceivedByAccount	:	
27/12/2018 20:04:40	getCurrency->getConn	:	testing
27/12/2018 20:04:40	getCurrency->getConn	:	testing
27/12/2018 20:05:10	getTransactionByAddress->getConn	:	testing
27/12/2018 20:05:10	->getReceivedByAccount	:	
